datasetkey	data_resource_id	created
00255299-4034-4f8d-86ed-805dacc0ec5d	14080	2012-09-05
005eb8d8-ed94-41be-89cf-e3115a9058e4	14348	2012-09-05
00752ed7-f11c-4614-8e51-4bee39b6ee12	11904	2012-09-05
00a0607f-fd7e-4268-9707-0f53aa265f1f	14326	2012-09-05
01e012f0-3bd1-11df-92f0-f27520308d26	11697	2012-09-05
02131297-7f17-4eb7-aeb6-9692ac6d5ea1	921	2012-09-05
0214a6a7-898f-4ee8-b888-0be60ecde81f	13706	2012-09-05
0233af7f-11ae-491e-be56-a4038ecf6585	14221	2012-09-05
027c10bb-9fab-4236-982f-224d0f749c49	14687	2013-01-25
027e7308-c9e7-46c7-8d56-08e1d525b03b	1888	2012-09-05
028da6e9-b2c7-4a66-90ee-3fc1670f6e8f	14723	2013-03-06
02b3bdaa-07dc-45b3-a761-7580d4bdcdb4	14020	2012-09-05
030340f4-caa1-4337-a18b-a8d52a3fddfc	14031	2012-09-05
0310b080-ec4b-11dc-b73e-b8a03c50a862	2627	2012-09-05
0310e58d-4da0-4c30-82fe-ea9bba09c5f3	13574	2012-09-05
0332b870-b6e3-11dd-81f4-b8a03c50a862	7952	2012-09-05
0348540a-e644-4496-89d3-c257da9ad776	13734	2012-09-05
038dbe30-8971-422e-b970-8a99569419d0	13575	2012-09-05
039c8737-cad1-406b-aaf0-a390d018a95a	14025	2012-09-05
03dd4cef-0822-4d12-9b36-c9442c86298c	13481	2012-09-05
03f2256a-e548-43d7-a731-253302f4aa34	14675	2013-01-16
03f255d0-9870-4357-be22-09613bc36dbf	14306	2012-09-05
03faed9d-5741-471c-baa3-6630dd37e887	12722	2012-09-05
0409a304-cc5d-4af6-b509-5b6667905117	13514	2012-09-05
042b2294-d6ec-4a9c-bafe-0be82c035350	1944	2012-09-05
045593aa-0ac2-4ffa-8d96-9d669b27f03c	14574	2012-11-29
045bec27-d2ff-4c95-8ddb-a18d0dc1b46d	1587	2012-09-05
04992c9c-0ead-428d-917e-698cd5f38d01	14223	2012-09-05
04c4143f-1b12-44c1-a81d-1ef5fb3ea175	14210	2012-09-05
04def3c5-1bb5-4d3e-b89a-959d1e72670f	14974	2013-06-03
04df21c5-5422-4b79-85c1-43a4acadff45	11701	2012-09-05
05331452-8b9b-4764-9a7d-e1c702624f4c	14219	2012-09-05
053cc2c4-c0c9-4024-8cdb-9f45b93700bf	11761	2012-09-05
0549aec6-5e7b-46a8-af80-76a3712c0ef6	14669	2013-01-11
05a46222-b9ff-4162-a0e1-08bfcc5c6584	11873	2012-09-05
0645ccdb-e001-4ab0-9729-51f1755e007e	14114	2012-09-05
06c7cc28-7705-4881-ae8c-37d373b988d2	13689	2012-09-05
06d3504c-a3bb-11e2-95b8-00145eb45e9a	14839	2013-04-22
07377786-b4bc-48dd-864c-a6d6668abb17	14318	2012-09-05
0746c784-cafe-42bd-8800-8af5cc7f0ace	840	2012-09-05
07506960-9703-11de-893c-b8a03c50a862	9092	2012-09-05
076b154f-2815-4966-842b-270438dbc209	14967	2013-06-03
0778013c-906f-4746-835e-586d1ec5243d	14262	2012-09-05
078e691d-127e-4bd4-8a09-67884c545fc1	1543	2012-09-05
07bba348-5057-47b5-8ba3-c37879653425	11836	2012-09-05
07d7bcca-2e32-4a0f-a114-384a6b75cd8b	14212	2012-09-05
07fd0d79-4883-435f-bba1-58fef110cd13	14036	2012-09-05
081cab66-9c26-4bca-bffa-d371d5b73505	14968	2013-06-03
085a42b1-cc01-45c4-b21f-0a45833a8008	14662	2013-01-09
086a644d-6cbe-43b7-b7c7-d33d36028d7f	839	2012-09-05
086c90f0-ae7d-11dc-b3c6-b8a03c50a862	2019	2012-09-05
08895e67-911b-439e-9275-cd872452975e	14454	2012-09-20
08a4ed1f-8586-4437-b3c9-95989eb40fd4	14672	2013-01-11
0938172b-2086-439c-a1dd-c21cb0109ed5	13556	2012-09-05
0943f690-fde5-11dd-83f4-b8a03c50a862	8113	2012-09-05
0957a821-ac00-47de-93a8-87a8492d1a81	14089	2012-09-05
09a17133-1487-440f-93aa-656d75877280	14903	2013-05-03
09b43636-b60f-11e1-bd72-00145eb45e9a	14404	2012-09-05
09baff40-d4a3-11dc-8719-b8a03c50a862	2405	2012-09-05
09bbd7cb-afe7-4c98-a2a9-1f1081a82d19	14946	2013-05-23
09c38deb-8674-446e-8be8-3347f6c094ef	14373	2012-09-05
09c4287e-e6d5-4552-a07f-bff8a00833d8	14800	2013-04-16
